language,feature,n,mean,std,p05,median,p95,min,max
zh,clause_count,5000.0,4.3734,2.201356954,1.0,4.0,8.0,1.0,16.0
zh,dependency_depth,5000.0,4.4052,1.151786855,3.0,4.0,6.0,2.0,9.0
zh,mean_dependency_distance,5000.0,3.833030958,1.065353292,2.166667,3.761905,5.7023157,1.333333,8.177778
zh,max_dependency_distance,5000.0,19.805,9.791066081,6.0,18.0,38.0,2.0,53.0
zh,normalized_dependency_distance,5000.0,0.157775832,0.046558308,0.0979556,0.148789,0.246914,0.068357,0.44898
zh,nominalization_ratio,5000.0,0.505775395,0.121065907,0.3125,0.5,0.708333,0.0625,0.948276
zh,modifier_density,5000.0,0.344887175,0.10435671,0.166667,0.342857,0.5161846,0.0,0.705882
zh,coordination_count,5000.0,1.7084,2.6291005,0.0,0.0,7.0,0.0,25.0
zh,passive_or_beishi_count,5000.0,0.5338,0.843360872,0.0,0.0,2.0,0.0,7.0
zh,sentence_compression_ratio,5000.0,8.99835,3.727312675,3.5,8.75,15.75,2.5,19.0
zh,token_count,5000.0,27.5232,10.421989338,12.0,27.0,46.0,6.0,56.0
zh,sentence_count,5000.0,1.01,0.101488916,1.0,1.0,1.0,1.0,3.0
zh,avg_sentence_length,5000.0,27.341866667,10.392676079,12.0,26.0,46.0,6.0,56.0
en,clause_count,5000.0,3.6276,2.17258331,1.0,3.0,8.0,1.0,22.0
en,dependency_depth,5000.0,5.3778,1.810709021,3.0,5.0,9.0,2.0,15.0
en,mean_dependency_distance,5000.0,3.455982286,0.665923259,2.473684,3.40625,4.60995,1.5,9.6
en,max_dependency_distance,5000.0,22.0104,11.707053081,7.0,20.0,44.0,3.0,90.0
en,normalized_dependency_distance,5000.0,0.135587402,0.050382734,0.06915595,0.127224,0.2308008,0.028115,0.45679
en,nominalization_ratio,5000.0,0.610641863,0.1414014,0.384615,0.609091,0.8375,0.0,1.157143
en,modifier_density,5000.0,0.493011777,0.117193527,0.290323,0.5,0.677419,0.052632,0.842105
en,coordination_count,5000.0,2.5882,3.046148512,0.0,3.0,9.0,0.0,31.0
en,passive_count,5000.0,0.7594,1.329327514,0.0,0.0,3.0,0.0,14.0
en,sentence_compression_ratio,5000.0,3.600857142,1.63520432,1.428571,3.285714,6.571429,0.571429,11.142857
en,token_count,5000.0,30.6698,13.734772221,13.0,28.0,57.0,8.0,116.0
en,sentence_count,5000.0,1.0744,0.313152742,1.0,1.0,2.0,1.0,5.0
en,avg_sentence_length,5000.0,29.137586667,12.565701166,13.0,27.0,52.0,6.5,112.0
